Name	Species	Power	Height	Weight	Age
Julissa_Sauer	Goblin	Magic_missile	287	183	96.53
Ethyle_Crist	Goblin	Dimension_door	242	994	185.86
Jetta_Rogahn	Goblin	None	596	891	745.86
Jimmy_Moen	Giant	Floating_disk	304	530	217.36
Jordan_Nitzsche	Goblin	Lightning_bolt	956	378	188.5
Taylor_Simonis	Dragon	Magic_missile	678	604	766.75
Marti_West	Kobold	Floating_disk	258	871	291.2
Marlys_Ziemann	Goblin	Fireball	565	69	989.05
Cora_Murphy	Giant	Cure_critical_wounds	56	531	880.36
Hana_Douglas	Dragon	Magic_missile	641	396	479.08
Arnav_Robel	Goblin	Dimension_door	848	610	892.77
Amma_Schiller	Elf	Dimension_door	718	138	402.81
Keara_Gottlieb	Elf	Cure_critical_wounds	66	330	43.22
Keifer_Spencer	Giant	Magic_missile	404	183	690.06
Lesley_Boehm	Beholder	Cure_critical_wounds	347	16	50.13
Jaeda_Morissette	Beholder	None	276	966	231.16
Dante_Mayert	Elf	Floating_disk	614	655	667.35
Destiney_Feil	Kobold	Cure_critical_wounds	230	578	214.01
Taya_Murray	Dragon	Fireball	666	911	169.97
Tracy_Schulist	Giant	Fireball	669	57	919.43
Christal_Williamson	Elf	Lightning_bolt	232	649	491.24
Annalise_Daugherty	Kobold	Magic_missile	485	438	94.72
Bee_Larkin	Giant	Dimension_door	370	449	789.52
Lexis_Auer	Dragon	Fireball	690	307	586.68
Tabitha_Larson	Kobold	Fireball	830	798	187.09
Taniyah_Kiehn	Elf	Magic_missile	511	946	374.2
Branch_Upton	Human	Cure_critical_wounds	355	381	49.14
Declan_Brown	Beholder	None	330	97	252.93
Fredrick_Mertz	Beholder	None	495	14	188.86
Achsah_Nicolas	Elf	None	659	45	389.55
Darryn_Halvorson	Kobold	Magic_missile	668	854	713.04
Marty_Kris	Beholder	Fireball	441	702	674.74
Elle_Crona	Beholder	Cure_critical_wounds	744	211	318.44
Murray_Hyatt	Beholder	Cure_critical_wounds	299	43	128.08
Amil_Dach	Beholder	Floating_disk	508	657	863.18
Cristal_Shanahan	Dragon	Magic_missile	578	884	293.98
Inga_Muller	Elf	Fireball	45	633	80.64
Idabelle_Hane	Goblin	Magic_missile	505	367	799.82
Taliyah_Herzog	Goblin	Dimension_door	149	94	119.12
Macey_Schmitt	Beholder	Lightning_bolt	847	542	75.16
Chanel_Heathcote	Giant	Lightning_bolt	260	272	369.54
Chuck_Watsica	Goblin	Fireball	162	988	582.96
Alessandra_Smith	Human	Magic_missile	352	604	553.14
Bailey_Dare	Human	Cure_critical_wounds	582	809	857.39
Merle_Nader	Giant	Floating_disk	215	261	789.34
Coolidge_Kertzmann	Kobold	Lightning_bolt	431	848	333.91
Lyric_Fay	Giant	Fireball	711	421	505.02
Iyana_Yundt	Giant	Floating_disk	356	646	71.53
Kaydence_Friesen	Giant	None	195	130	332.69
Hayward_Torp	Giant	None	595	926	155.61
Leafy_Will	Kobold	Dimension_door	389	317	80.93
Eden_Keebler	Giant	Lightning_bolt	752	273	778.88
Creed_Parker	Elf	Lightning_bolt	934	946	119.22
Drury_Kshlerin	Beholder	Floating_disk	699	608	547.78
Tawana_Mraz	Goblin	Dimension_door	323	219	41.92
Marcelo_Luettgen	Giant	Magic_missile	102	437	333.39
Dorthea_Olson	Giant	Dimension_door	743	86	268.9
Raleigh_Ratke	Kobold	Magic_missile	81	152	866.63
Joyce_Crona	Human	Cure_critical_wounds	597	302	658.53
Carl_Marks	Human	None	917	92	435.44
Loney_Bosco	Beholder	Magic_missile	182	494	844.53
Marylin_Orn	Human	Floating_disk	804	491	948.19
Marylou_Lebsack	Beholder	Magic_missile	81	516	565.35
Nolie_Becker	Kobold	Cure_critical_wounds	815	471	390.72
Ena_Parker	Elf	Magic_missile	941	772	424.3
Delma_Cremin	Dragon	Cure_critical_wounds	373	762	441.33
Otelia_Walter	Elf	None	834	370	364.39
Angella_Kovacek	Dragon	None	509	729	745.45
Manuelita_Hauck	Human	Fireball	703	220	560.01
Roderic_Hintz	Goblin	Floating_disk	114	294	770.61
Marlyn_Kulas	Kobold	Lightning_bolt	35	627	11.2
Leighton_Bailey	Human	Dimension_door	842	450	734.96
Syed_Ankunding	Beholder	Dimension_door	864	94	555.14
Giovanni_Renner	Elf	Lightning_bolt	365	250	941.64
Geary_Simonis	Kobold	Fireball	310	258	540.85
Kiefer_Conn	Goblin	None	499	818	591.04
Esley_Rogahn	Elf	Cure_critical_wounds	131	906	500.7
Parlee_Johnson	Giant	Lightning_bolt	623	325	685.6
Kerrie_Koss	Giant	Dimension_door	422	757	204.35
Ashleigh_Wilkinson	Beholder	Lightning_bolt	658	606	161.33
Nanna_Stiedemann	Elf	Lightning_bolt	817	557	244.47
Vance_Hoppe	Kobold	Fireball	722	713	334.57
Avie_Bauch	Elf	Cure_critical_wounds	677	918	579.91
Vander_Runte	Giant	None	279	945	613.68
Lindsey_Kuhlman	Human	Lightning_bolt	907	889	638.94
Leora_Kerluke	Goblin	Dimension_door	77	124	203.19
Bria_Stark	Dragon	Cure_critical_wounds	268	831	712.01
Staci_Ledner	Dragon	Cure_critical_wounds	497	526	496.63
Kathlene_Corkery	Beholder	Lightning_bolt	325	726	125.98
Merton_Halvorson	Human	Lightning_bolt	631	297	348.43
Frank_Blick	Beholder	Dimension_door	802	772	418.51
Rogelio_Daniel	Dragon	Cure_critical_wounds	711	120	944.83
Ozie_Blanda	Human	Fireball	461	410	572.23
Lavera_Koch	Dragon	Floating_disk	928	433	634.73
Shea_Moore	Human	Fireball	307	606	835.87
Glynn_Pfeffer	Human	Dimension_door	89	181	550.43
Shayna_Fritsch	Giant	Floating_disk	181	647	914.71
Emogene_Glover	Human	Lightning_bolt	78	931	107.98
Tyriq_Altenwerth	Giant	None	135	45	611.11
Lannie_Lemke	Elf	Lightning_bolt	672	508	555.02
Hassan_Jast	Human	Fireball	617	173	728.59
Orion_Johnston	Goblin	Lightning_bolt	894	500	419.65
Weaver_Johnson	Kobold	Lightning_bolt	738	97	101.04
Mercy_Halvorson	Giant	Fireball	799	847	293.98
Selina_Lynch	Elf	None	417	4	538.5
Adron_Champlin	Beholder	None	852	91	890.71
Maribel_Sporer	Giant	Fireball	25	345	148.68
Darlyne_Schuster	Beholder	Cure_critical_wounds	43	816	817.6
Elihu_Bechtelar	Kobold	Floating_disk	657	671	759.71
Dorothy_Rogahn	Beholder	Magic_missile	619	845	69.88
Stacie_Pouros	Dragon	Cure_critical_wounds	96	682	867.17
Dempsey_Von	Kobold	Fireball	645	608	748.02
Merrie_Durgan	Elf	Magic_missile	604	811	529.16
Roscoe_Strosin	Elf	Magic_missile	505	944	331.24
Dessie_Bauch	Kobold	Floating_disk	801	913	233.11
Benny_Beatty	Goblin	Magic_missile	702	272	795.63
Ilene_Corkery	Dragon	None	358	472	9.82
Barbara_Koepp	Beholder	Fireball	86	884	297.94
Brett_Cummerata	Dragon	Magic_missile	461	514	65.18
Wilburn_Dickens	Dragon	Magic_missile	416	453	585.82
Clella_Harber	Elf	Dimension_door	68	640	832.87
Lon_Balistreri	Beholder	Cure_critical_wounds	30	341	116.74
Hugo_Orn	Kobold	Lightning_bolt	652	32	980.73
Claudia_Davis	Dragon	Magic_missile	279	47	582.46
Shavonne_Gutmann	Giant	Magic_missile	109	111	696.21
Devin_Heidenreich	Goblin	Lightning_bolt	447	731	881.07
Donie_Keebler	Giant	Cure_critical_wounds	159	907	326.51
Halley_Swaniawski	Giant	Floating_disk	836	227	535.0
Marie_Bernier	Elf	Lightning_bolt	673	319	868.8
Venita_Brekke	Beholder	Lightning_bolt	149	867	174.77
Caitlin_Towne	Dragon	Fireball	602	501	62.02
Marius_Terry	Beholder	None	974	176	850.22
Goldia_Bechtelar	Elf	Fireball	945	499	55.06
Mckinley_Gusikowski	Kobold	Floating_disk	539	113	297.73
Kasie_Lesch	Kobold	Lightning_bolt	583	360	534.93
Wheeler_Watsica	Dragon	None	423	556	811.36
Shirleen_Hoppe	Human	Dimension_door	731	948	977.76
Berenice_Ritchie	Human	None	89	491	182.84
Robin_Ratke	Giant	None	126	886	254.47
Suzette_Kuhn	Dragon	Lightning_bolt	234	443	823.36
Adriel_Graham	Giant	None	639	29	386.97
